ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,CreditHistory,Dependents,Education,EmploymentType,PropertyArea,MaritalStatus,Loan_Status
136958,50772,298430,300,1,2,Not Graduate,Self Employed,Semiurban,Single,1
146932,72084,205887,120,0,1,Graduate,Salaried,Semiurban,Married,1
118694,40149,265572,180,1,3+,Graduate,Self Employed,Rural,Single,1
134879,27526,144348,36,1,0,Not Graduate,Self Employed,Urban,Single,1
125268,68477,155736,240,1,3+,Not Graduate,Self Employed,Urban,Single,1
69886,5695,336858,120,1,3+,Not Graduate,Self Employed,Rural,Single,1
102498,39169,462106,12,0,1,Graduate,Salaried,Rural,Single,1
127727,47947,185797,120,0,3+,Not Graduate,Salaried,Rural,Single,1
141324,47224,486421,240,1,3+,Graduate,Salaried,Rural,Single,1
31023,45865,201756,36,1,3+,Graduate,Salaried,Rural,Single,1
56090,25553,161573,84,1,1,Graduate,Salaried,Urban,Married,1
82221,60410,325236,60,1,2,Graduate,Salaried,Semiurban,Single,1
79820,24816,408062,84,1,0,Graduate,Self Employed,Semiurban,Married,1
15769,55026,482986,36,0,0,Not Graduate,Self Employed,Urban,Married,0
74735,50705,75457,240,1,2,Graduate,Salaried,Urban,Single,1
79925,61922,383811,36,1,2,Graduate,Salaried,Semiurban,Married,1
20311,73914,402895,300,1,3+,Graduate,Salaried,Urban,Single,1
118355,1881,112894,12,1,0,Graduate,Self Employed,Rural,Married,1
100305,39567,111305,120,1,2,Graduate,Salaried,Urban,Single,1
145608,47365,193684,300,1,3+,Not Graduate,Salaried,Urban,Married,1
99478,79211,283913,120,0,0,Graduate,Salaried,Urban,Single,0
137537,70122,259699,84,1,1,Graduate,Self Employed,Urban,Married,1
145523,25006,480305,240,1,1,Graduate,Self Employed,Semiurban,Single,1
17747,41198,364281,60,1,0,Graduate,Salaried,Semiurban,Single,1
138855,22831,50559,60,1,0,Not Graduate,Self Employed,Semiurban,Married,1
80725,16459,378393,12,1,1,Graduate,Self Employed,Semiurban,Married,1
144981,32443,87361,36,1,1,Graduate,Self Employed,Rural,Married,1
99654,42316,392864,12,1,0,Graduate,Salaried,Rural,Married,1
134346,64486,327405,120,1,3+,Graduate,Salaried,Semiurban,Single,1
82435,5877,332516,180,1,2,Not Graduate,Self Employed,Semiurban,Married,1
71886,39553,367499,180,0,2,Not Graduate,Self Employed,Semiurban,Married,1
81803,4922,278748,180,0,0,Not Graduate,Self Employed,Urban,Single,0
46551,4686,410704,36,1,2,Graduate,Salaried,Rural,Single,1
131216,32766,238992,12,0,1,Not Graduate,Self Employed,Rural,Single,1
26394,79943,293950,300,1,1,Not Graduate,Self Employed,Urban,Married,1
84092,32006,475760,240,1,2,Not Graduate,Salaried,Urban,Married,1
18890,31422,50037,84,1,0,Not Graduate,Self Employed,Urban,Married,1
56606,12205,224104,120,1,1,Not Graduate,Self Employed,Rural,Married,1
102313,23527,353564,180,0,3+,Graduate,Salaried,Urban,Single,0
23792,18443,147243,240,1,3+,Not Graduate,Self Employed,Urban,Married,1
83148,16524,179380,60,1,1,Not Graduate,Self Employed,Urban,Married,1
139243,28202,308430,300,1,1,Not Graduate,Self Employed,Semiurban,Single,1
135174,65552,84600,12,1,2,Graduate,Self Employed,Urban,Single,1
139358,46142,229357,120,0,0,Graduate,Salaried,Semiurban,Single,1
63555,61692,243080,120,1,2,Not Graduate,Salaried,Rural,Married,1
32159,20855,401664,60,1,0,Graduate,Salaried,Rural,Married,1
125510,60372,317311,300,1,3+,Graduate,Self Employed,Rural,Single,1
121530,25095,307351,60,1,3+,Not Graduate,Salaried,Semiurban,Married,1
